Age,Age_Bands,Area,Gender,Population
6,5 - 9,Aberdeenshire,Male,1717
6,5 - 9,Angus,Male,586
6,5 - 9,Argyll and Bute,Male,424
6,5 - 9,City of Edinburgh,Male,2517
6,5 - 9,Clackmannanshire,Male,241
6,5 - 9,Dumfries and Galloway,Male,791
6,5 - 9,Dundee City,Male,765
6,5 - 9,East Ayrshire,Male,682
6,5 - 9,East Dunbartonshire,Male,602
6,5 - 9,East Lothian,Male,617
6,5 - 9,East Renfrewshire,Male,632
6,5 - 9,Falkirk,Male,959
6,5 - 9,Fife,Male,2253
6,5 - 9,Glasgow City,Male,3146
6,5 - 9,Highland,Male,1245
6,5 - 9,Inverclyde,Male,449
6,5 - 9,Midlothian,Male,557
6,5 - 9,Moray,Male,548
6,5 - 9,Na h-Eileanan Siar,Male,148
6,5 - 9,North Ayrshire,Male,717
6,5 - 9,North Lanarkshire,Male,2037
6,5 - 9,Orkney Islands,Male,113
6,5 - 9,Perth and Kinross,Male,803
6,5 - 9,Renfrewshire,Male,972
6,5 - 9,Scottish Borders,Male,583
6,5 - 9,Shetland Islands,Male,159
6,5 - 9,South Ayrshire,Male,604
6,5 - 9,South Lanarkshire,Male,1739
6,5 - 9,Stirling,Male,490
6,5 - 9,West Dunbartonshire,Male,542
6,5 - 9,West Lothian,Male,1150
6,5 - 9,Aberdeen City,Female,1121
6,5 - 9,Aberdeenshire,Female,1670
6,5 - 9,Angus,Female,660
6,5 - 9,Argyll and Bute,Female,441
6,5 - 9,City of Edinburgh,Female,2484
6,5 - 9,Clackmannanshire,Female,304
6,5 - 9,Dumfries and Galloway,Female,754
6,5 - 9,Dundee City,Female,713
6,5 - 9,East Ayrshire,Female,649
6,5 - 9,East Dunbartonshire,Female,572
6,5 - 9,East Lothian,Female,607
6,5 - 9,East Renfrewshire,Female,612
6,5 - 9,Falkirk,Female,937
6,5 - 9,Fife,Female,2021
6,5 - 9,Glasgow City,Female,3079
6,5 - 9,Highland,Female,1219
6,5 - 9,Inverclyde,Female,405
6,5 - 9,Midlothian,Female,554
6,5 - 9,Moray,Female,521
6,5 - 9,Na h-Eileanan Siar,Female,115
6,5 - 9,North Ayrshire,Female,690
6,5 - 9,North Lanarkshire,Female,2023
6,5 - 9,Orkney Islands,Female,110
6,5 - 9,Perth and Kinross,Female,724
6,5 - 9,Renfrewshire,Female,893
6,5 - 9,Scottish Borders,Female,564
6,5 - 9,Shetland Islands,Female,123
6,5 - 9,South Ayrshire,Female,548
6,5 - 9,South Lanarkshire,Female,1686
6,5 - 9,Stirling,Female,449
6,5 - 9,West Dunbartonshire,Female,497
6,5 - 9,West Lothian,Female,1110
7,5 - 9,Aberdeen City,Male,1127
7,5 - 9,Aberdeenshire,Male,1713
7,5 - 9,Angus,Male,632
7,5 - 9,Argyll and Bute,Male,435
7,5 - 9,City of Edinburgh,Male,2638
7,5 - 9,Clackmannanshire,Male,298
7,5 - 9,Dumfries and Galloway,Male,775
7,5 - 9,Dundee City,Male,828
7,5 - 9,East Ayrshire,Male,692
7,5 - 9,East Dunbartonshire,Male,643
7,5 - 9,East Lothian,Male,655
7,5 - 9,East Renfrewshire,Male,590
7,5 - 9,Falkirk,Male,945
7,5 - 9,Fife,Male,2154
7,5 - 9,Glasgow City,Male,3160
7,5 - 9,Highland,Male,1440
7,5 - 9,Inverclyde,Male,406
7,5 - 9,Midlothian,Male,569
7,5 - 9,Moray,Male,553
7,5 - 9,Na h-Eileanan Siar,Male,149
7,5 - 9,North Ayrshire,Male,800
7,5 - 9,North Lanarkshire,Male,2083
7,5 - 9,Orkney Islands,Male,138
7,5 - 9,Perth and Kinross,Male,833
7,5 - 9,Renfrewshire,Male,984
7,5 - 9,Scottish Borders,Male,625
7,5 - 9,Shetland Islands,Male,140
7,5 - 9,South Ayrshire,Male,568
7,5 - 9,South Lanarkshire,Male,1777
7,5 - 9,Stirling,Male,499
7,5 - 9,West Dunbartonshire,Male,544
7,5 - 9,West Lothian,Male,1260
7,5 - 9,Aberdeen City,Female,1087
7,5 - 9,Aberdeenshire,Female,1671
7,5 - 9,Angus,Female,597
7,5 - 9,Argyll and Bute,Female,431
7,5 - 9,City of Edinburgh,Female,2630
7,5 - 9,Clackmannanshire,Female,258
7,5 - 9,Dumfries and Galloway,Female,775
7,5 - 9,Dundee City,Female,754
7,5 - 9,East Ayrshire,Female,698
7,5 - 9,East Dunbartonshire,Female,577
7,5 - 9,East Lothian,Female,625
7,5 - 9,East Renfrewshire,Female,599
7,5 - 9,Falkirk,Female,1001
7,5 - 9,Fife,Female,2163
7,5 - 9,Glasgow City,Female,3063
7,5 - 9,Highland,Female,1239
7,5 - 9,Inverclyde,Female,397
7,5 - 9,Midlothian,Female,515
7,5 - 9,Moray,Female,533
7,5 - 9,Na h-Eileanan Siar,Female,127
7,5 - 9,North Ayrshire,Female,753
7,5 - 9,North Lanarkshire,Female,2126
