Year,Age,Gender,Pop_Count_Projection,SIM,Pop_Count_Reference,index_col
2019,72,Female,38.0,0,32,Female72
2019,73,Female,34.0,0,30,Female73
2019,74,Female,22.0,0,13,Female74
2019,75,Female,30.0,0,29,Female75
2019,76,Female,27.0,0,22,Female76
2019,77,Female,12.0,0,23,Female77
2019,78,Female,27.0,0,27,Female78
2019,79,Female,17.0,0,20,Female79
2019,80,Female,21.0,0,14,Female80
2019,81,Female,23.0,0,14,Female81
2019,82,Female,16.0,0,14,Female82
2019,83,Female,13.0,0,23,Female83
2019,84,Female,11.0,0,15,Female84
2019,85,Female,12.0,0,13,Female85
2019,86,Female,18.0,0,11,Female86
2019,87,Female,13.0,0,9,Female87
2019,88,Female,9.0,0,14,Female88
2019,89,Female,7.0,0,3,Female89
2019,90+,Female,27.0,0,39,Female90+
2019,0,Male,0.0,0,24,Male0
2019,1,Male,0.0,0,13,Male1
2019,2,Male,0.0,0,22,Male2
2019,3,Male,24.0,0,16,Male3
2019,4,Male,13.0,0,19,Male4
2019,5,Male,22.0,0,25,Male5
2019,6,Male,16.0,0,37,Male6
2019,7,Male,19.0,0,23,Male7
2019,8,Male,25.0,0,26,Male8
2019,9,Male,37.0,0,30,Male9
2019,10,Male,23.0,0,34,Male10
2019,11,Male,26.0,0,27,Male11
2019,12,Male,30.0,0,30,Male12
2019,13,Male,34.0,0,24,Male13
2019,14,Male,27.0,0,19,Male14
2019,15,Male,30.0,0,23,Male15
2019,16,Male,24.0,0,18,Male16
2019,17,Male,19.0,0,33,Male17
2019,18,Male,23.0,0,27,Male18
2019,19,Male,18.0,0,17,Male19
2019,20,Male,33.0,0,24,Male20
2019,21,Male,27.0,0,29,Male21
2019,22,Male,17.0,0,22,Male22
2019,23,Male,24.0,0,12,Male23
2019,24,Male,29.0,0,20,Male24
2019,25,Male,22.0,0,12,Male25
2019,26,Male,12.0,0,23,Male26
2019,27,Male,20.0,0,25,Male27
2019,28,Male,12.0,0,28,Male28
2019,29,Male,23.0,0,24,Male29
2019,30,Male,25.0,0,18,Male30
2019,31,Male,28.0,0,14,Male31
2019,32,Male,24.0,0,21,Male32
2019,33,Male,18.0,0,19,Male33
2019,34,Male,14.0,0,14,Male34
2019,35,Male,21.0,0,18,Male35
2019,36,Male,19.0,0,18,Male36
2019,37,Male,13.0,0,23,Male37
2019,38,Male,18.0,0,16,Male38
2019,39,Male,18.0,0,24,Male39
2019,40,Male,23.0,0,23,Male40
2019,41,Male,16.0,0,25,Male41
2019,42,Male,23.0,0,22,Male42
2019,43,Male,23.0,0,32,Male43
2019,44,Male,25.0,0,31,Male44
2019,45,Male,22.0,0,36,Male45
2019,46,Male,32.0,0,32,Male46
2019,47,Male,31.0,0,31,Male47
2019,48,Male,36.0,0,45,Male48
2019,49,Male,32.0,0,32,Male49
2019,50,Male,31.0,0,32,Male50
2019,51,Male,45.0,0,41,Male51
