Age,Gender,Pop_Count_Projection,SIM,Year,Pop_Count_Reference,index_col
78,Male,18,0,2018,15,Male78
79,Male,15,0,2018,19,Male79
80,Male,12,0,2018,14,Male80
81,Male,15,0,2018,16,Male81
82,Male,9,0,2018,8,Male82
83,Male,13,0,2018,11,Male83
84,Male,8,0,2018,7,Male84
85,Male,8,0,2018,8,Male85
86,Male,7,0,2018,6,Male86
87,Male,6,0,2018,3,Male87
88,Male,3,0,2018,13,Male88
89,Male,2,0,2018,4,Male89
90+,Male,9,0,2018,17,Male90+
0,Female,0,0,2019,21,Female0
1,Female,0,0,2019,25,Female1
2,Female,0,0,2019,14,Female2
3,Female,21,0,2019,29,Female3
4,Female,25,0,2019,19,Female4
5,Female,14,0,2019,18,Female5
6,Female,29,0,2019,25,Female6
7,Female,19,0,2019,29,Female7
8,Female,18,0,2019,16,Female8
9,Female,25,0,2019,29,Female9
10,Female,29,0,2019,30,Female10
11,Female,16,0,2019,20,Female11
12,Female,29,0,2019,25,Female12
13,Female,30,0,2019,27,Female13
14,Female,20,0,2019,17,Female14
15,Female,25,0,2019,35,Female15
16,Female,27,0,2019,12,Female16
17,Female,17,0,2019,20,Female17
18,Female,35,0,2019,20,Female18
19,Female,12,0,2019,16,Female19
20,Female,20,0,2019,20,Female20
21,Female,20,0,2019,14,Female21
22,Female,16,0,2019,16,Female22
23,Female,20,0,2019,20,Female23
24,Female,14,0,2019,17,Female24
25,Female,16,0,2019,18,Female25
26,Female,20,0,2019,14,Female26
27,Female,17,0,2019,31,Female27
28,Female,18,0,2019,26,Female28
29,Female,14,0,2019,15,Female29
30,Female,31,0,2019,20,Female30
31,Female,26,0,2019,16,Female31
32,Female,15,0,2019,19,Female32
33,Female,20,0,2019,22,Female33
34,Female,16,0,2019,22,Female34
35,Female,19,0,2019,31,Female35
36,Female,22,0,2019,27,Female36
37,Female,22,0,2019,33,Female37
38,Female,31,0,2019,21,Female38
39,Female,27,0,2019,29,Female39
40,Female,33,0,2019,32,Female40
41,Female,21,0,2019,25,Female41
42,Female,29,0,2019,28,Female42
43,Female,32,0,2019,37,Female43
44,Female,24,0,2019,20,Female44
45,Female,28,0,2019,27,Female45
46,Female,37,0,2019,32,Female46
47,Female,20,0,2019,32,Female47
48,Female,27,0,2019,56,Female48
49,Female,32,0,2019,37,Female49
50,Female,30,0,2019,54,Female50
51,Female,55,0,2019,36,Female51
52,Female,36,0,2019,29,Female52
53,Female,54,0,2019,39,Female53
54,Female,36,0,2019,35,Female54
55,Female,29,0,2019,28,Female55
56,Female,38,0,2019,42,Female56
57,Female,33,0,2019,49,Female57
58,Female,27,0,2019,31,Female58
59,Female,41,0,2019,38,Female59
60,Female,49,0,2019,31,Female60
61,Female,31,0,2019,36,Female61
62,Female,38,0,2019,29,Female62
63,Female,28,0,2019,44,Female63
64,Female,36,0,2019,43,Female64
65,Female,29,0,2019,40,Female65
66,Female,42,0,2019,42,Female66
67,Female,42,0,2019,36,Female67
68,Female,38,0,2019,30,Female68
69,Female,41,0,2019,38,Female69
70,Female,32,0,2019,35,Female70
71,Female,26,0,2019,23,Female71
72,Female,36,0,2019,32,Female72
73,Female,32,0,2019,30,Female73
74,Female,21,0,2019,13,Female74
75,Female,27,0,2019,29,Female75
76,Female,28,0,2019,22,Female76
77,Female,10,0,2019,23,Female77
